content,sentiment
hai dev maafkan ulasan pemain maksimal,2
game grafik buruk game,0
yobain bosan main free fire mobile legends ramai,1
game keren,2
bagus seru,2
pensiun pubg mobile,0
kecewa admin benarkan berat pembaruan,0
pocox profesional memaksa tutup,1
game aneh main lancar jaringannya merah bug kadang suara orang tembak terdengarnya menunda kasih bintang game sulit semangat tencent krafton,2
game bagus,0
game matigiliran ganti ponsel gamenya sepi,0
pembaruan sulit ya masuk pertandingannya suka mental masuk,1
bagus bunuh teman peta unrangked jalan suka sistem tolong perbaiki,0
botaak botak,0
game bug jaringan jelek jaringan bawaan bagus,0
pubg rekomendasi tuk main pubg,2
mainkan bodoh,0
grafik buruk gamenya sakit mata,1
seru ponsel ram main ramai,1
berat mengunduh mengunduh aplikasi masuk mengunduh peta beli kuota sisa main pubg habis maaf tencent pelit mahal kontol suka main kasih kelonggaran,1
game bagus,2
permainan bagus bug,2
lancar,1
tolong pakai suntikan dikurangi biar ramai game,0
berat lawan,0
kakak coba pakai bahasa indonesia bahasa inggris kakak,1
tencent tolong baju baju musim jangn keluarkan gratiskan pasaran tolong ya kasian pemain sulit sulit tolong ya tolong,1
coba pembaruan berfaedah,1
keluarkan skin skin superman,1
berhubung hoki bundel mumi kasih bintang,2
cpet benarkan tencent main macet memuat,0
pubg mobile paksa donlow peta ponsel kentang tolong,1
bagus tunggunya,2
pembaruan anjing,0
krafton pelit kasih skin,1
pidiyo pul,2
keluarkan grafik super halus pemain pubg ramai biar ponsel kentang main,1
seru main pubg bandingkan free fire,2
akun gah,2
kasih bintang game bagus bug,2
bot pemain pembaruan meningkatkan perangkat merugikan pemain pemain berkurang mengecewakan,0
ngecheat tolong blokir ya skin pemain gratiskan ya pelit ya,1
game bagus,2
bagus halal grafik buruk,2
tolong perbaiki bug admin,1
gamenya seru,2
buka,1
seru bagus,2
grafik terputus putus jaringan,1
game haram kasih bintang,2
pensiun,1
pengembang mengurangi data pubg mobile ponsel kentang bermain pubg,1
bug tolong perbaiki,1
games seru pembaruan berat ponsel,2
bagus bagus,2
bermain lancar main bug team deathmatch bug game berat parah sinyal buruk mengalami layar gerakkan mohon dibetulkan lancar game berat menjalankan aplikasi bermainpubg,1
game bagus,2
tolong masuk,2
suka pubg mobile berat ganti musim off,1
bagus,2
main dengar lagu musim,2
maaf kasih bintang kendalabug bermain bermain deatmacth pemain bug rumah kayu mohon bantuan bug kurangkan,1
tolong ringankan game pengguna ponsel jelek grafik terputus putus drop tolong keringanan,0
menahan sakit senyum terhebat,2
game,1
keren,2
kakak tolong pembaharuan kasih baju gratis kakak kemampuan permanen,1
jelek,0
tolong perbaiki nyaman bug lancar parah pubg kecewa berat,0
gamenya jelek ngpin koin jelek,0
merilis penuh versi lost koneksi pembaruan,2
bug haram lho mainkan gusy pubg haram,2
