content,sentiment
cheatnya laku ya kasian peringkat turun wkwkww go hapus instalan blokir game rip pubg,0
anjing aplikasinya,2
ya lancar jaringan bagus tolong diperbaiki,0
habis pembaruan mainnya grafik terputus putus ms diperbaiki kulihat pubg musim kemarin nyaman mainnya grafik terputus putus sinyal bagus lancar,1
admin pembaruan ponsel kentangh,2
game haram,0
bagusan tencent,0
mengunduh masuk pembaharuan game mo main tunggu,0
habis mengunduh buka bingung main,0
tolong pengembang game dikurangi ya tolong biar main lancar,0
pembaruan,0
buruk,0
bagus,2
bagus realistic free fire grafik game play nyaman seekali silahkan mengunduh,2
gemko haram,0
bug wkwkwkkwkwwkwkwkwkwkkekwwkwkwkkwkwwkkwkwkwkw,0
tolong pubg habis pembaruan kendaraan suara mc laren suara habis pembaruan suara push orang mobil dengar tolong,1
bercanda,0
game haramkita berperang bertammu dasar game haram game bertamu haram game jelek nyaman game free fire lebihh bagus game mahal jelek haram mulung game haram game menyembah patung bodoh game haram,0
bagus ponsel kentang tong perbaiki,2
sulit,0
dukung ram,0
seru anjing,1
paham,0
suka game bagus,2
mohon main pembaruan bug admin,1
ok,1
game bekerjasama dg produsen gadget meningkatkan fitur otomatis membutuhkan gadget spesifikasi perlahan menaikkan kapasitas file otomatis pemain membutuhkan gadget dg spesifikasi,1
mantep,2
coba pubg,2
game bug rekomendasikan,0
login facebook,0
rantingnya maaf kasih tolong betulkan bugnya suara langkah kaki musuh terdengar kadang langsung mati musuh,1
login facebook gagal otoritas gagal perbuatan anjing login,1
game grafik buruk mengunduh,0
pubg tidur campur,0
ok,2
bosan main game setim orang segar game play,0
game game buruk keadilan,1
krafton belikan ponsel iphone biar semangat main,1
seru gamenya sulit dpt item bilang game mahal,1
pengembang tolong fokus koneksi wifi memakai wifi bagus lagging menit mohon fokus koneksi bagus resolusi memukau,1
maff ya kasih bintang ya coba game pemain free fire mencoba games,0
parah bug parah emosi ajaa pubg musim main kecewa jaringan hilang muncul saanya hapus instalan pubg bngsad,0
terima kasih,0
bagus,1
kasih bintang grafik game bermain ponsel mendukung game ok rendering bos perbaiki terjun pesawat langsung masuk tanah turun pindah terjun darat cari menjarah rumahnya ok perbaiki ya bos kasih bintang,0
perangkat annj,2
mengunduh,0
bagus giga tapiku kasih terima kasih,2
berusaha mendoenlot pubg mendonlot masuk game dasar baji,0
cinta pubg mobile,2
login twitter kesalahan,0
oke tolong bug benarkan,1
ponsel redmi saia memaksa tutup ya,1
game play pengalaman ya ok isu is ditebus kupon peti be keberuntungan,2
bug,2
kirim email pubg mengatasi perbaikan akun sayatapi tanggapangimana main akun perbaiki,0
krafton pelit kasih skin,1
tolong pakai suntikan dikurangi biar ramai game,0
bug tolong perbaiki khusunya mini peta,1
aplikasi parah berat angkatan pembaharuan pembaruan game jaringan telkomsel pembaruan selesai ulang makan kouta,0
tolong masuk,2
bagus free fire,2
pubg tercinta mengeluh server down teman tim setara musuh dimana tim musuh hebat tim pemula,1
game bodoh,1
main pubgyg keluhkan bug kabut,0
bagus,2
kasih admin,2
berjuang sekeras,2
jaringan bagus jumpa lawan main langsung nglek lawan langsung bug bos,1
apus peta kabut,0
benarkan bug mengunduh kronologinya selesai mengunduh peta pakai suruh mengunduh,1
game bodoh,0
game sepperti free fire game butiq bit,0
cheat,0
grafik buruk,2
bug bug spesifikasi bug team deathmatch fpp kecewa main,1
penggemar,2
memuat disaat perang jaringan bagus hm perbaiki bintang,1
game bagus pembaruan,2
game sanagt ridak bagus to up to up berhasil,2
bug aneh main memuaskan semoga perbaikan terima kasih,1
game bagus mohon memperbaiki web redeem redeem,2
game mendukung handphone ram,0
login admin,2
ya bs login pakai akun twitter,0
game cupu bug,0
selesai mengunduh pubg kemarin pembaruan login masuk tutorial mengunduh pubg mohon bantuannya biar main pubg,0
bagus,2
pembaruannya ya,0
coba mudahan bug,1
